&bc
headings_d ='timestep',          'time',          'pf',          'amm',          'nit',                    'frp',                    'no2',                    'salinity',                    'so4',                    'dic',                    'h2s',                    'n2o'
                                    46,                    46,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    47,                    47,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    48,                    48,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    49,                    49,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    50,                    50,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    51,                    51,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    52,                    52,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    53,                    53,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    54,                    54,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    55,                    55,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    56,                    56,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    57,                    57,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    58,                    58,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    59,                    59,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    60,                    60,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    61,                    61,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    62,                    62,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    63,                    63,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    64,                    64,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    65,                    65,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    66,                    66,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    67,                    67,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    68,                    68,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    69,                    69,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    70,                    70,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    71,                    71,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    72,                    72,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    73,                    73,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    74,                    74,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    75,                    75,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    76,                    76,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    77,                    77,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    78,                    78,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    79,                    79,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    80,                    80,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    81,                    81,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    82,                    82,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    83,                    83,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    84,                    84,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    85,                    85,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    86,                    86,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    87,                    87,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    88,                    88,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    89,                    89,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    90,                    90,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    91,                    91,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    92,                    92,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    93,                    93,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    94,                    94,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    95,                    95,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    96,                    96,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    97,                    97,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    98,                    98,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    99,                    99,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    100,                    100,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    101,                    101,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    102,                    102,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    103,                    103,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    104,                    104,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    105,                    105,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    106,                    106,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    107,                    107,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    108,                    108,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    109,                    109,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    110,                    110,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    111,                    111,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    112,                    112,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    113,                    113,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    114,                    114,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    115,                    115,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    116,                    116,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    117,                    117,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    118,                    118,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    119,                    119,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    120,                    120,                    305,                    37.971,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    121,                    121,                    379,                    39.156,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    122,                    122,                    379,                    39.156,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    123,                    123,                    379,                    39.156,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    124,                    124,                    379,                    39.156,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    125,                    125,                    379,                    39.156,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    126,                    126,                    379,                    39.156,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    127,                    127,                    379,                    39.156,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    128,                    128,                    379,                    39.156,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    129,                    129,                    379,                    39.156,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    130,                    130,                    379,                    39.156,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    131,                    131,                    379,                    39.156,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    132,                    132,                    379,                    39.156,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    133,                    133,                    379,                    39.156,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    134,                    134,                    379,                    39.156,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    135,                    135,                    379,                    39.156,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    136,                    136,                    379,                    39.156,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    137,                    137,                    379,                    39.156,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    138,                    138,                    379,                    39.156,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
