&bc
headings_d ='timestep',          'time',          'pf',          'amm',          'nit',                    'frp',                    'no2',                    'salinity',                    'so4',                    'dic',                    'h2s',                    'n2o'
                                    450,                    450,                    450,                    33.37,                    41,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    451,                    451,                    450,                    33.37,                    41,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    452,                    452,                    450,                    33.37,                    41,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    453,                    453,                    450,                    33.37,                    41,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    454,                    454,                    450,                    33.37,                    41,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    455,                    455,                    450,                    33.37,                    41,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    456,                    456,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    457,                    457,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    458,                    458,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    459,                    459,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    460,                    460,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    461,                    461,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    462,                    462,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    463,                    463,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    464,                    464,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    465,                    465,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    466,                    466,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    467,                    467,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    468,                    468,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    469,                    469,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    470,                    470,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    471,                    471,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    472,                    472,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    473,                    473,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    474,                    474,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    475,                    475,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    476,                    476,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    477,                    477,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    478,                    478,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    479,                    479,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    480,                    480,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    481,                    481,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    482,                    482,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    483,                    483,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    484,                    484,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    485,                    485,                    470,                    32.542,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    486,                    486,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    487,                    487,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    488,                    488,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    489,                    489,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    490,                    490,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    491,                    491,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    492,                    492,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    493,                    493,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    494,                    494,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    495,                    495,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    496,                    496,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    497,                    497,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    498,                    498,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    499,                    499,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    500,                    500,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    501,                    501,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    502,                    502,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    503,                    503,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    504,                    504,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    505,                    505,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    506,                    506,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    507,                    507,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    508,                    508,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    509,                    509,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    510,                    510,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    511,                    511,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    512,                    512,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    513,                    513,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    514,                    514,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    515,                    515,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    516,                    516,                    589,                    30.792,                    45,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    517,                    517,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    518,                    518,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    519,                    519,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    520,                    520,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    521,                    521,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    522,                    522,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    523,                    523,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    524,                    524,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    525,                    525,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    526,                    526,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    527,                    527,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    528,                    528,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    529,                    529,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    530,                    530,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    531,                    531,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    532,                    532,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    533,                    533,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    534,                    534,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    535,                    535,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    536,                    536,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    537,                    537,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    538,                    538,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    539,                    539,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    540,                    540,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    541,                    541,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    542,                    542,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    543,                    543,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    544,                    544,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    545,                    545,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    546,                    546,                    659,                    29.693,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    547,                    547,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    548,                    548,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    549,                    549,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    550,                    550,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    551,                    551,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    552,                    552,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    553,                    553,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    554,                    554,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    555,                    555,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    556,                    556,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    557,                    557,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    558,                    558,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    559,                    559,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    560,                    560,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    561,                    561,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    562,                    562,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    563,                    563,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    564,                    564,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    565,                    565,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    566,                    566,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    567,                    567,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    568,                    568,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    569,                    569,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    570,                    570,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    571,                    571,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    572,                    572,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    573,                    573,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    574,                    574,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    575,                    575,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    576,                    576,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    577,                    577,                    817,                    28.544,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    578,                    578,                    896,                    27.996,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    579,                    579,                    896,                    27.996,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    580,                    580,                    896,                    27.996,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    581,                    581,                    896,                    27.996,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    582,                    582,                    896,                    27.996,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    583,                    583,                    896,                    27.996,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    584,                    584,                    896,                    27.996,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    585,                    585,                    896,                    27.996,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    586,                    586,                    896,                    27.996,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    587,                    587,                    896,                    27.996,                    47,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
