&bc
headings_d ='timestep',          'time',          'pf',          'amm',          'nit',                    'frp',                    'no2',                    'salinity',                    'so4',                    'dic',                    'h2s',                    'n2o'
                                    46,                    46,                    353,                    35.04,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    47,                    47,                    353,                    35.04,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    48,                    48,                    353,                    35.04,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    49,                    49,                    353,                    35.04,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    50,                    50,                    353,                    35.04,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    51,                    51,                    353,                    35.04,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    52,                    52,                    353,                    35.04,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    53,                    53,                    353,                    35.04,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    54,                    54,                    353,                    35.04,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    55,                    55,                    353,                    35.04,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    56,                    56,                    353,                    35.04,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    57,                    57,                    353,                    35.04,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    58,                    58,                    353,                    35.04,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    59,                    59,                    353,                    35.04,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    60,                    60,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    61,                    61,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    62,                    62,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    63,                    63,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    64,                    64,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    65,                    65,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    66,                    66,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    67,                    67,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    68,                    68,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    69,                    69,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    70,                    70,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    71,                    71,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    72,                    72,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    73,                    73,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    74,                    74,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    75,                    75,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    76,                    76,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    77,                    77,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    78,                    78,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    79,                    79,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    80,                    80,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    81,                    81,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    82,                    82,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    83,                    83,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    84,                    84,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    85,                    85,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    86,                    86,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    87,                    87,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    88,                    88,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    89,                    89,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
